歲數,起始年,調性數字,調性,圖騰數字,圖騰,對應KIN,主印記,波符加印記,起始日期,結束日期,諧波,對應卦象,主題,說明
0,1994,4,自我存在,4,黃種子,4,自我存在黃種子,紅龍波符自我存在黃種子,1994/08/10,8/9/1995,"諧波1 
自我存在的輸入，賦予形式的盛開",乾為天,創世起源,"宇宙之樹內，有創造的門戶
時間掌握了空間的氣息
從失落的時間間隔中，創世湧現"
1,1995,5,超頻,9,紅月,109,超頻紅月,紅蛇波符超頻紅月,1995/08/10,8/9/1996,"諧波28
銀河星系的作用，構建完整的自由意志",山澤損,喜悅之聖殿,"一首古老歌謠穿透寂靜
藉由靈魂之眼的藍，聆聽內在光芒
月亮倒映在海上"
2,1996,6,韻律,14,白巫師,214,韻律白巫師,紅月波符韻律白巫師,1996/08/10,8/9/1997,"諧波54
銀河星系的輸出，表現完整的智能",澤地萃,當下的海洋,"人們歡聚一堂為了提供服務
銀河指令降臨
在那無邊際空間的聖殿中"
3,1997,7,共振,19,藍風暴,59,共振藍風暴,紅天行者波符共振藍風暴,1997/08/10,8/9/1998,"諧波15
銀河星系的母體矩陣，自我調整完整的宇宙之火",山風蠱,降伏心智,"在取之不盡的源頭中消融心智
在意識之海打磨石頭
只追隨內在之光"
4,1998,8,銀河星系,4,黃種子,164,銀河星系黃種子,紅地球波符銀河星系黃種子,1998/08/10,8/9/1999,"諧波41
銀河星系的輸入，賦予完整的盛開",風火家人,家的力量,"獨處的時間將決定誰去誰回
勿讓火源處於無人看管狀態
家，內在之火"
5,1999,9,太陽,9,紅月,9,太陽紅月,紅龍波符太陽紅月,1999/08/10,8/9/2000,"諧波3 
水晶的作用，構建合作的自由意志",天風姤,時間的穿透力,"合一了智慧的並且到達最遠的地平線
神聖的火花照見四季
太陽釋放出金色的呼吸環"
6,2000,10,行星,14,白巫師,114,行星白巫師,紅蛇波符行星白巫師,2000/08/10,8/9/2001,"諧波29
水晶的輸出，表現合作的智能",坎為水,心水晶/月水晶,"用光的幻象填滿月亮
太陽未出現時，出現空間的幻覺
不在心智陰影中尋求認同"
7,2001,11,光譜,19,藍風暴,219,光譜藍風暴,紅月波符光譜藍風暴,2001/08/10,8/9/2002,"諧波55
水晶的母體矩陣，自我調整合作的宇宙之火",震為雷,雷/喚醒存在,"不須費力地三摩地轉錄心電感應的歌詞
藉由超精神的力量，喚醒內在身體
宇宙呼吸的能量，喚醒昆達里尼"
8,2002,12,水晶,4,黃種子,64,水晶黃種子,紅天行者波符水晶黃種子,2002/08/10,8/9/2003,"諧波16
水晶的輸入，賦予合作的盛開",天澤履,履行實踐,"記憶之書被深深掩埋
沒有藉口的冥想
離開因果而意識到自我"
9,2003,13,宇宙,9,紅月,169,宇宙紅月,紅地球波符宇宙紅月,2003/08/10,8/9/2004,"諧波43
電力的作用，構建服務的自由意志",水火既濟,貫徹,"在太陽光中改變空間，無懼後退
記憶是永恆太陽的起源
對天體運行印象深刻"
10,2004,1,磁性,14,白巫師,14,磁性白巫師,白巫師波符磁性白巫師,2004/08/10,8/9/2005,"諧波4 
電力的輸出，表現服務的智能",火天大有,眾人的智慧,"專注帶來更高維度的接觸
宇宙的對齊，增加了時間的知識
與地球一起呼吸，解開了結"
11,2005,2,月亮,19,藍風暴,119,月亮藍風暴,白鏡波符月亮藍風暴,2005/08/10,8/9/2006,"諧波30
電力的母體矩陣，自我調整服務的宇宙之火",地澤臨,巫師之志,"穿越天際的旅程，教導降臨到地球
鏡像維度反映了內部空間
如同看見湖水中倒映的雲"
12,2006,3,電力,4,黃種子,224,電力黃種子,白風波符電力黃種子,2006/08/10,8/9/2007,"諧波56
電力的輸入，賦予服務的盛開",火地晉,心智擴展,"新太陽誕生，過去消逝
引領你的注意力來到心智之源
來自太陽的閃光帶來瞬然的清晰"
13,2007,4,自我存在,9,紅月,69,自我存在紅月,白世界橋波符自我存在紅月,2007/08/10,8/9/2008,"諧波18
共鳴的作用，構建協調的自由意志",兌為澤,喜悅之光熱,"智慧之火清唱古老歌謠
聆聽銀河星系心智中的空間
順著光流穿越時間之海"
14,2008,5,超頻,14,白巫師,174,超頻白巫師,白狗波符超頻白巫師,2008/08/10,8/9/2009,"諧波44
共鳴的輸出，表現協調的智能",風山漸,進化,"建立聖殿，知曉內在
觸摸風，感覺太陽
爬上山，看見樹"
15,2009,6,韻律,19,藍風暴,19,韻律藍風暴,白巫師波符韻律藍風暴,2009/08/10,8/9/2010,"諧波5 
共鳴的母體矩陣，自我調整協調的宇宙之火",澤風大過,爆發的時間,"日月在時間的輻射光芒中合一
13月亮同步了空間與時間
日月的覺知是心智的本質"
16,2010,7,共振,4,黃種子,124,共振黃種子,白鏡波符共振黃種子,2010/08/10,8/9/2011,"諧波31 
共鳴的輸入，賦予協調的盛開",山水蒙,再次聆聽,"聆聽創造的多維度真言
樹用內在年輪保留了時間
刺穿感官的窄門"
17,2011,8,銀河星系,9,紅月,229,銀河星系紅月,白風波符銀河星系紅月,2011/08/10,8/9/2012,"諧波58
光譜的作用，構建解脫的自由意志",雷地豫,眾人得勝,"藉由慈悲合一，心智擴展無邊際的空間
聚集圍繞著內在心智之火
清晰的空間打開心智"
