出生年,出生月,出生日,KIN,國曆表示方式,瑪雅生日,,,,,,
1994,8,10,4,08/10,01.16,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,對應的KIN,對應矩陣位置,時間矩陣,空間矩陣,共時矩陣,TFI,基本母體矩陣BMU,,,,
時間母體矩陣,74,V2:H15,74,192,57,323,130,,,,
空間母體矩陣,4,V9:H4,80,4,84,168,240,,,,
共時母體矩陣,4,V5:H4,6,7,4,17,244,,,,
基本母體矩陣,,V7:H21,,,主校準頻率,67,67,,,,
七價路徑之門,291,V11:H5,SELI海底輪,,,,291,,,,
,,,,,對等印記,248,磁性黃星星,,,,
,,,,,,,,,,,
對等印記,KIN,主印記,主印記(含波符),,,波符加印記城堡,波符加印記城堡銀河季節,調性數字,調性,圖騰數字,圖騰
對等印記,248,磁性黃星星,黃星星波符磁性黃星星,,,綠色中央魔法城堡黃星星波符磁性黃星星,生命力紅蛇紅色銀河季節綠色中央魔法城堡黃星星波符磁性黃星星,1,磁性,8,黃星星
支持印記,131,磁性藍猴,藍猴波符磁性藍猴,,,藍色西方蛻變城堡藍猴波符磁性藍猴,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符磁性藍猴,1,磁性,11,藍猴
擴展印記,118,磁性白鏡,白鏡波符磁性白鏡,,,藍色西方蛻變城堡白鏡波符磁性白鏡,視野藍鷹藍色銀河季節藍色西方蛻變城堡白鏡波符磁性白鏡,1,磁性,18,白鏡
隱藏印記,13,宇宙紅天行者,紅龍波符宇宙紅天行者,,,紅色東方啟動城堡紅龍波符宇宙紅天行者,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符宇宙紅天行者,13,宇宙,13,紅天行者
引導印記,248,磁性黃星星,黃星星波符磁性黃星星,,,綠色中央魔法城堡黃星星波符磁性黃星星,生命力紅蛇紅色銀河季節綠色中央魔法城堡黃星星波符磁性黃星星,1,磁性,8,黃星星
,,,,,,,,,,,
,,,,,,,,,,,
對等波符,黃星星波符,,,,,,,,,,
,KIN,主印記,關鍵字,諧波,對應卦象,主題,說明,調性數字,調性,圖騰數字,圖騰
,248,磁性黃星星,目標,"諧波62
磁性的儲存，記得目的的優雅",水地比,眾人團結,"微觀世界承載天堂，新的破曉時分
時間之樹在時空重新加入時出現
合一寫在樹的年輪上",1,磁性,8,黃星星
,249,月亮紅月,挑戰,"諧波63
超頻的作用，構建光芒四射的自由意志",地雷復,榮歸,"什麼樣的力量等同於月亮空間？
心智不費力地將月光上升到天堂般的地球上
什麼？月亮剛剛回歸了！",2,月亮,9,紅月
,250,電力白狗,最高品質,"諧波63
超頻的作用，構建光芒四射的自由意志",地雷復,榮歸,"什麼樣的力量等同於月亮空間？
心智不費力地將月光上升到天堂般的地球上
什麼？月亮剛剛回歸了！",3,電力,10,白狗
,251,自我存在藍猴,服務形式,"諧波63
超頻的作用，構建光芒四射的自由意志",地雷復,榮歸,"什麼樣的力量等同於月亮空間？
心智不費力地將月光上升到天堂般的地球上
什麼？月亮剛剛回歸了！",4,自我存在,11,藍猴
,252,超頻黃人,力量,"諧波63
超頻的作用，構建光芒四射的自由意志",地雷復,榮歸,"什麼樣的力量等同於月亮空間？
心智不費力地將月光上升到天堂般的地球上
什麼？月亮剛剛回歸了！",5,超頻,12,黃人
,253,韻律紅天行者,平衡,"諧波64
太陽的輸出，表現意圖的智能",山地剝,心智之釋放,"抵達頂峰，開始新循環
靜靜地登上藍山
當未能確定時，撤退",6,韻律,13,紅天行者
,254,共振白巫師,中心,"諧波64
太陽的輸出，表現意圖的智能",山地剝,心智之釋放,"抵達頂峰，開始新循環
靜靜地登上藍山
當未能確定時，撤退",7,共振,14,白巫師
,255,銀河星系藍鷹,信念,"諧波64
太陽的輸出，表現意圖的智能",山地剝,心智之釋放,"抵達頂峰，開始新循環
靜靜地登上藍山
當未能確定時，撤退",8,銀河星系,15,藍鷹
,256,太陽黃戰士,意圖,"諧波64
太陽的輸出，表現意圖的智能",山地剝,心智之釋放,"抵達頂峰，開始新循環
靜靜地登上藍山
當未能確定時，撤退",9,太陽,16,黃戰士
,257,行星紅地球,完美,"諧波65
宇宙的母體矩陣，自我調整當下的宇宙之火",坤為地,初始母體,"月亮教導樹，如同地球呼吸
紅星球擁有雙月—是記憶的符號
透由極性藝術，一分為二",10,行星,17,紅地球
,258,光譜白鏡,釋放,"諧波65
宇宙的母體矩陣，自我調整當下的宇宙之火",坤為地,初始母體,"月亮教導樹，如同地球呼吸
紅星球擁有雙月—是記憶的符號
透由極性藝術，一分為二",11,光譜,18,白鏡
,259,水晶藍風暴,合作,"諧波65
宇宙的母體矩陣，自我調整當下的宇宙之火",坤為地,初始母體,"月亮教導樹，如同地球呼吸
紅星球擁有雙月—是記憶的符號
透由極性藝術，一分為二",12,水晶,19,藍風暴
,260,宇宙黃太陽,姿態,"諧波65
宇宙的母體矩陣，自我調整當下的宇宙之火",坤為地,初始母體,"月亮教導樹，如同地球呼吸
紅星球擁有雙月—是記憶的符號
透由極性藝術，一分為二",13,宇宙,20,黃太陽
