圖騰,星際原型,BMU,行星,流,電路,說明,家族
紅龍,原動力,108,海王星,銀河業力流(GK),電路2：共有的記憶本能,記憶出生打開進入靜心永恆之門,基本家族
白風,女祭司,144,天王星,銀河業力流(GK),電路3：預言遊戲棋盤，地球發聲管道,心靈打開導航/共時之門,核心家族
藍夜,夢想家,126,土星,銀河業力流(GK),電路4：表達智能,心靈豐盛打開智能無懼之門,信號家族
黃種子,純真的人,90,木星,銀河業力流(GK),電路5：吸收智能,成就/覺知打開視野之門,通道家族
紅蛇,啟動的蛇,288,馬爾戴克星,銀河業力流(GK),電路5：吸收智能,性/生命力打開永恆之門,極性家族
白世界橋,教皇,294,火星,銀河業力流(GK),電路4：表達智能,死亡打開預言/空間之門,基本家族
藍手,阿凡達,291,地球,銀河業力流(GK),電路3：預言遊戲棋盤，地球發聲管道,貫徹打開自由意志智慧之門,核心家族
黃星星,藝術家,300,金星,銀河業力流(GK),電路2：共有的記憶本能,藝術打開魔法之門,信號家族
紅月,治療師,306,水星,銀河業力流(GK),電路1：阿爾法‧歐米茄充電電路,淨化打開愛之門,通道家族
白狗,慈悲者,303,水星,太陽預言流(SP),電路1：阿爾法‧歐米茄充電電路,淨化打開愛之門,極性家族
藍猴,魔術師,312,金星,太陽預言流(SP),電路2：共有的記憶本能,藝術打開魔法之門,基本家族
黃人,聖哲,318,地球,太陽預言流(SP),電路3：預言遊戲棋盤，地球發聲管道,貫徹打開自由意志智慧之門,核心家族
紅天行者,預言家,315,火星,太陽預言流(SP),電路4：表達智能,死亡打開預言/空間之門,信號家族
白巫師,巫師,276,馬爾戴克星,太陽預言流(SP),電路5：吸收智能,性/生命力打開永恆之門,通道家族
藍鷹,先知,282,木星,太陽預言流(SP),電路5：吸收智能,成就/覺知打開視野之門,極性家族
黃戰士,開創者,279,土星,太陽預言流(SP),電路4：表達智能,心靈豐盛打開智能無懼之門,基本家族
紅地球,領航者,396,天王星,太陽預言流(SP),電路3：預言遊戲棋盤，地球發聲管道,心靈打開導航/共時之門,核心家族
白鏡,瑜伽士,402,海王星,太陽預言流(SP),電路2：共有的記憶本能,記憶出生打開進入靜心永恆之門,信號家族
藍風暴,世界改革者,408,冥王星,太陽預言流(SP),電路1：阿爾法‧歐米茄充電電路,擺脫蒙昧打開自然運生之門,通道家族
黃太陽,開悟者,414,冥王星,銀河業力流(GK),電路1：阿爾法‧歐米茄充電電路,擺脫蒙昧打開自然運生之門,極性家族
