國曆生日,月日,瑪雅生日,瑪雅月,瑪雅週,七價路徑,等離子日,矩陣位置,PSI印記,對應印記,Vinal 肯定句,七價路徑,祈禱文,判斷,烏爾諧波盧恩符文代號,瑪雅週,關鍵句
07月26日,07/26,01.01,磁性蝙蝠之月,紅色啟動之週,"紅色01
紅龍→紅蛇","DALI 01
頂輪(目標)",V1:H1,1,磁性紅龍,1 Pop:知者,"紅色01
紅龍→紅蛇",存在進化了性,1,065,紅色啟動之週,知識產生了見解
07月27日,07/27,01.02,磁性蝙蝠之月,紅色啟動之週,"紅色01
紅龍→紅蛇","SELI 02
海底輪(流動)",V2:H1,1,磁性紅龍,1 Pop:知者,"白色02
紅龍→白世界橋",存在進化了死亡,1,066,白色淨化之週,謙遜昇華了靜心
07月28日,07/28,01.03,磁性蝙蝠之月,紅色啟動之週,"紅色01
紅龍→紅蛇","GAMMA 03
眉心輪(平靜)",V3:H1,1,磁性紅龍,1 Pop:知者,"藍色03
紅龍→藍手",存在進化了知識,1,067,藍色蛻變之週,耐心改變了舉止
07月29日,07/29,01.04,磁性蝙蝠之月,紅色啟動之週,"紅色01
紅龍→紅蛇","KALI 04 
臍輪(建立)",V4:H1,20,共振黃太陽,1 Pop:知者,"黃色04
紅蛇→藍手",性喚醒了知識,1,068,黃色收穫之週,力量成就了果實
07月30日,07/30,01.05,磁性蝙蝠之月,紅色啟動之週,"紅色01
紅龍→紅蛇","ALPHA 05
喉輪(釋放)",V5:H1,20,共振黃太陽,1 Pop:知者,"紅色05
白世界橋→藍手",死亡傳送了知識,1,069,,
07月31日,07/31,01.06,磁性蝙蝠之月,紅色啟動之週,"紅色01
紅龍→紅蛇","LIMI 06 
胃輪(淨化)",V6:H1,20,共振黃太陽,1 Pop:知者,"白色06
藍夜→黃星星",夢進化了藝術,1,070,,
08月01日,08/01,01.07,磁性蝙蝠之月,紅色啟動之週,"紅色01
紅龍→紅蛇","SILIO 07
心輪(發射)",V7:H1,2,月亮白風,1 Pop:知者,"藍色07
藍夜→紅月",夢進化了淨化,1,071,,
08月02日,08/02,01.08,磁性蝙蝠之月,白色淨化之週,"白色02
紅龍→白世界橋","DALI 08
頂輪(目標)",V15:H1,3,電力藍夜,1 Pop:知者,"黃色08
藍夜→白狗",夢進化了愛,1,072,,
08月03日,08/03,01.09,磁性蝙蝠之月,白色淨化之週,"白色02
紅龍→白世界橋","SELI 09
海底輪(流動)",V16:H1,4,自我存在黃種子,1 Pop:知者,"紅色09
黃星星→白狗",藝術喚醒了愛,1,073,,
08月04日,08/04,01.10,磁性蝙蝠之月,白色淨化之週,"白色02
紅龍→白世界橋","GAMMA 10
眉心輪(平靜)",V17:H1,5,超頻紅蛇,1 Pop:知者,"白色10
紅月→白狗",淨化傳送了愛,1,074,,
08月05日,08/05,01.11,磁性蝙蝠之月,白色淨化之週,"白色02
紅龍→白世界橋","KALI 11
臍輪(建立)",V18:H1,6,韻律白世界橋,1 Pop:知者,"藍色11
白風→藍猴",心靈進化了魔法,1,075,,
08月06日,08/06,01.12,磁性蝙蝠之月,白色淨化之週,"白色02
紅龍→白世界橋","ALPHA 12
喉輪(釋放)",V19:H1,7,共振藍手,1 Pop:知者,"黃色12
白風→黃人",心靈進化了智慧,1,076,,
08月07日,08/07,01.13,磁性蝙蝠之月,白色淨化之週,"白色02
紅龍→白世界橋","LIMI 13
胃輪(淨化)",V20:H1,8,銀河星系黃星星,1 Pop:知者,"紅色13
白風→紅天行者",心靈進化了預言,1,077,,
08月08日,08/08,01.14,磁性蝙蝠之月,白色淨化之週,"白色02
紅龍→白世界橋","SILIO 14
心輪(發射)",V21:H1,9,太陽紅月,1 Pop:知者,"白色14
藍猴→紅天行者",魔法喚醒了預言,1,078,,
08月09日,08/09,01.15,磁性蝙蝠之月,藍色蛻變之週,"藍色03
紅龍→藍手","DALI 15
頂輪(目標)",V1:H15,10,行星白狗,1 Pop:知者,"藍色15
黃人→紅天行者",智慧傳送了預言,1,079,,
08月10日,08/10,01.16,磁性蝙蝠之月,藍色蛻變之週,"藍色03
紅龍→藍手","SELI 16
海底輪(流動)",V2:H15,11,光譜藍猴,1 Pop:知者,"黃色16
黃種子→白巫師",覺知進化了永恆,1,080,,
