KIN,調性數字,調性,圖騰數字,圖騰,主印記,矩陣位置,KIN,波符,波符加印記,城堡,波符加印記城堡,銀河季節,波符加印記城堡銀河季節,諧波,密碼子,調性數字,調性,圖騰數字,圖騰,星際原型,BMU,行星,流,電路,說明,家族,對應脈輪,電路,電路說明
1,1,磁性,1,紅龍,磁性紅龍,V01:H01,1,紅龍波符,紅龍波符磁性紅龍,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符磁性紅龍,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符磁性紅龍,"諧波1 
自我存在的輸入，賦予形式的盛開","第1股 樹之道
創世起源
01乾為天卦",1,磁性,1,紅龍,原動力,108,海王星,銀河業力流(GK),電路2：共有的記憶本能,記憶出生打開進入靜心永恆之門,基本家族,喉輪,電路1：阿爾法‧歐米茄充電電路,元意識電路，是最高級別意識的微小平台與整個星系的順序相連接。
2,2,月亮,2,白風,月亮白風,V01:H02,2,紅龍波符,紅龍波符月亮白風,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符月亮白風,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符月亮白風,"諧波1 
自我存在的輸入，賦予形式的盛開","第1股 樹之道
創世起源
01乾為天卦",2,月亮,2,白風,女祭司,144,天王星,銀河業力流(GK),電路3：預言遊戲棋盤，地球發聲管道,心靈打開導航/共時之門,核心家族,心輪,電路2：共有的記憶本能,來自銀河系元意識的本能和心電感應的源頭。
3,3,電力,3,藍夜,電力藍夜,V01:H03,3,紅龍波符,紅龍波符電力藍夜,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符電力藍夜,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符電力藍夜,"諧波1 
自我存在的輸入，賦予形式的盛開","第1股 樹之道
創世起源
01乾為天卦",3,電力,3,藍夜,夢想家,126,土星,銀河業力流(GK),電路4：表達智能,心靈豐盛打開智能無懼之門,信號家族,太陽神經叢,電路3：預言遊戲棋盤，地球發聲管道,雙心電感應電路，是太陽系整個發聲管道系統的核心部分。
4,4,自我存在,4,黃種子,自我存在黃種子,V01:H04,4,紅龍波符,紅龍波符自我存在黃種子,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符自我存在黃種子,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符自我存在黃種子,"諧波1 
自我存在的輸入，賦予形式的盛開","第1股 樹之道
創世起源
01乾為天卦",4,自我存在,4,黃種子,純真的人,90,木星,銀河業力流(GK),電路5：吸收智能,成就/覺知打開視野之門,通道家族,海底輪,電路4：表達智能,感知活動被外化，同時外部感官被傳送至感官系統之中。
5,5,超頻,5,紅蛇,超頻紅蛇,V01:H05,5,紅龍波符,紅龍波符超頻紅蛇,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符超頻紅蛇,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符超頻紅蛇,"諧波2 
銀河星系的儲存，記得完整的優雅","第6股 動力建構之道
百折不撓
43澤天夬卦",5,超頻,5,紅蛇,啟動的蛇,288,馬爾戴克星,銀河業力流(GK),電路5：吸收智能,性/生命力打開永恆之門,極性家族,頂輪,電路5：吸收智能,感知活動被內化，在外化的電路中進行最後的流動。
6,6,韻律,6,白世界橋,韻律白世界橋,V01:H06,6,紅龍波符,紅龍波符韻律白世界橋,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符韻律白世界橋,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符韻律白世界橋,"諧波2 
銀河星系的儲存，記得完整的優雅","第6股 動力建構之道
百折不撓
43澤天夬卦",6,韻律,6,白世界橋,教皇,294,火星,銀河業力流(GK),電路4：表達智能,死亡打開預言/空間之門,基本家族,喉輪,,
7,7,共振,7,藍手,共振藍手,V01:H07,7,紅龍波符,紅龍波符共振藍手,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符共振藍手,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符共振藍手,"諧波2 
銀河星系的儲存，記得完整的優雅","第6股 動力建構之道
百折不撓
43澤天夬卦",7,共振,7,藍手,阿凡達,291,地球,銀河業力流(GK),電路3：預言遊戲棋盤，地球發聲管道,貫徹打開自由意志智慧之門,核心家族,心輪,,
8,8,銀河星系,8,黃星星,銀河星系黃星星,V01:H08,8,紅龍波符,紅龍波符銀河星系黃星星,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符銀河星系黃星星,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符銀河星系黃星星,"諧波2 
銀河星系的儲存，記得完整的優雅","第6股 動力建構之道
百折不撓
43澤天夬卦",8,銀河星系,8,黃星星,藝術家,300,金星,銀河業力流(GK),電路2：共有的記憶本能,藝術打開魔法之門,信號家族,太陽神經叢,,
9,9,太陽,9,紅月,太陽紅月,V01:H09,9,紅龍波符,紅龍波符太陽紅月,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符太陽紅月,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符太陽紅月,"諧波3 
水晶的作用，構建合作的自由意志","第6股 動力建構之道
時間的穿透力
44天風姤卦",9,太陽,9,紅月,治療師,306,水星,銀河業力流(GK),電路1：阿爾法‧歐米茄充電電路,淨化打開愛之門,通道家族,海底輪,,
10,10,行星,10,白狗,行星白狗,V01:H10,10,紅龍波符,紅龍波符行星白狗,紅色東方啟動城堡,紅色東方啟動城堡紅龍波符行星白狗,愛的白狗白色銀河季節,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符行星白狗,"諧波3 
水晶的作用，構建合作的自由意志","第6股 動力建構之道
時間的穿透力
44天風姤卦",10,行星,10,白狗,慈悲者,303,水星,太陽預言流(SP),電路1：阿爾法‧歐米茄充電電路,淨化打開愛之門,極性家族,頂輪,,
