個人流日印記,KIN,主印記,主印記(含波符),,,,,,,,
生日,4,自我存在黃種子,紅龍波符自我存在黃種子,,,,,,,,
今天,248,磁性黃星星,黃星星波符磁性黃星星,,,,,,,,
個人流日印記,252,超頻黃人,黃星星波符超頻黃人,,,,,,,,
五大神諭,KIN,主印記,主印記(含波符),波符加印記城堡,波符加印記城堡銀河季節,,,調性數字,調性,圖騰數字,圖騰
個人流日印記,252,超頻黃人,黃星星波符超頻黃人,綠色中央魔法城堡黃星星波符超頻黃人,愛的白狗白色銀河季節綠色中央魔法城堡黃星星波符超頻黃人,,,5,超頻,12,黃人
支持印記,187,超頻藍手,藍夜波符超頻藍手,黃色南方給予城堡藍夜波符超頻藍手,生命力紅蛇紅色銀河季節黃色南方給予城堡藍夜波符超頻藍手,,,5,超頻,7,藍手
擴展印記,122,超頻白風,白鏡波符超頻白風,藍色西方蛻變城堡白鏡波符超頻白風,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符超頻白風,,,5,超頻,2,白風
隱藏印記,9,太陽紅月,紅龍波符太陽紅月,紅色東方啟動城堡紅龍波符太陽紅月,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符太陽紅月,,,9,太陽,9,紅月
引導印記,200,超頻黃太陽,黃戰士波符超頻黃太陽,黃色南方給予城堡黃戰士波符超頻黃太陽,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符超頻黃太陽,,,5,超頻,20,黃太陽
,,,,,,,,,,,
個人流日波符,黃星星波符,,,,,,,,,,
,KIN,主印記,關鍵字,諧波,對應卦象,主題,說明,圖騰數字,調性,圖騰數字,圖騰
,248,磁性黃星星,目標,"諧波62
磁性的儲存，記得目的的優雅",水地比,眾人團結,"微觀世界承載天堂，新的破曉時分
時間之樹在時空重新加入時出現
合一寫在樹的年輪上",1,磁性,8,黃星星
,249,月亮紅月,挑戰,"諧波63
超頻的作用，構建光芒四射的自由意志",地雷復,榮歸,"什麼樣的力量等同於月亮空間？
心智不費力地將月光上升到天堂般的地球上
什麼？月亮剛剛回歸了！",2,月亮,9,紅月
,250,電力白狗,最高品質,"諧波63
超頻的作用，構建光芒四射的自由意志",地雷復,榮歸,"什麼樣的力量等同於月亮空間？
心智不費力地將月光上升到天堂般的地球上
什麼？月亮剛剛回歸了！",3,電力,10,白狗
,251,自我存在藍猴,服務形式,"諧波63
超頻的作用，構建光芒四射的自由意志",地雷復,榮歸,"什麼樣的力量等同於月亮空間？
心智不費力地將月光上升到天堂般的地球上
什麼？月亮剛剛回歸了！",4,自我存在,11,藍猴
,252,超頻黃人,力量,"諧波63
超頻的作用，構建光芒四射的自由意志",地雷復,榮歸,"什麼樣的力量等同於月亮空間？
心智不費力地將月光上升到天堂般的地球上
什麼？月亮剛剛回歸了！",5,超頻,12,黃人
,253,韻律紅天行者,平衡,"諧波64
太陽的輸出，表現意圖的智能",山地剝,心智之釋放,"抵達頂峰，開始新循環
靜靜地登上藍山
當未能確定時，撤退",6,韻律,13,紅天行者
,254,共振白巫師,中心,"諧波64
太陽的輸出，表現意圖的智能",山地剝,心智之釋放,"抵達頂峰，開始新循環
靜靜地登上藍山
當未能確定時，撤退",7,共振,14,白巫師
,255,銀河星系藍鷹,信念,"諧波64
太陽的輸出，表現意圖的智能",山地剝,心智之釋放,"抵達頂峰，開始新循環
靜靜地登上藍山
當未能確定時，撤退",8,銀河星系,15,藍鷹
,256,太陽黃戰士,意圖,"諧波64
太陽的輸出，表現意圖的智能",山地剝,心智之釋放,"抵達頂峰，開始新循環
靜靜地登上藍山
當未能確定時，撤退",9,太陽,16,黃戰士
,257,行星紅地球,完美,"諧波65
宇宙的母體矩陣，自我調整當下的宇宙之火",坤為地,初始母體,"月亮教導樹，如同地球呼吸
紅星球擁有雙月—是記憶的符號
透由極性藝術，一分為二",10,行星,17,紅地球
,258,光譜白鏡,釋放,"諧波65
宇宙的母體矩陣，自我調整當下的宇宙之火",坤為地,初始母體,"月亮教導樹，如同地球呼吸
紅星球擁有雙月—是記憶的符號
透由極性藝術，一分為二",11,光譜,18,白鏡
,259,水晶藍風暴,合作,"諧波65
宇宙的母體矩陣，自我調整當下的宇宙之火",坤為地,初始母體,"月亮教導樹，如同地球呼吸
紅星球擁有雙月—是記憶的符號
透由極性藝術，一分為二",12,水晶,19,藍風暴
,260,宇宙黃太陽,姿態,"諧波65
宇宙的母體矩陣，自我調整當下的宇宙之火",坤為地,初始母體,"月亮教導樹，如同地球呼吸
紅星球擁有雙月—是記憶的符號
透由極性藝術，一分為二",13,宇宙,20,黃太陽
