黃烏龜,,,,
第幾天,說明,盧恩符文,說明,符文意涵
01,"銀河業力流
前意識位面
Baktun 1/13
地球之旅",Fehu財富,火焰般的豐盛，啟動王座,單純 善良 直接 人脈 社交能力好
02,"宇宙九力
無意識位面
Baktun 2/13
地球之旅",Uruz權力,塑造之力，啟動阿凡達,脾氣固執 個性直接 率直 勇於追求理想 行動力十足
03,"宇宙第十三力
清醒意識位面
Baktun 3/13
地球之旅","Thurisaz
雷神之槌",神聖的奮鬥，啟動奧秘,充滿魅力 能力強 也容易因為太過自我而固執己見 說服力佳 領導 好競爭 面子 思考直線 話言直接 過度自我導致不良結果　好鬥的
04,"宇宙第五力
持續意識位面
Baktun 4/13
地球之旅",Ansuz奧丁,奧丁神的呼吸，啟動啟蒙,內在豐富的情感 內心溫和 充滿慈愛 口條很好 善於表逹 長者型
05,"宇宙四力
超意識位面
Baktun 5/13
地球之旅",Raido使徒,太陽之環，啟動時空,流浪本質　行動力十足　隱士
06,"太陽預言流
潛意識位面
Baktun 6/13
地球之旅",Kenaz烈火,火光般炙熱的火炬，啟動超越,火元素　健康　活力 力量　能量　能力
07,"2012年佛陀 - 新耶路撒冷，聖地(舊週期的結束)
Baktun 7/13",wyrd空牌,立方體「7」的力量，建立歐亞非板塊的立方體,因果業力的循環　命運　沒有好壞
08,"2000年到2011年的基督 - 新天堂、新地球
Baktun 8/13","Ehwaz
神駒",騎士與馬的團結，提煉王座,傳送，運輸與運動，新的居住地，新的態度，新的生命。也代表正在提升，逐步發展穏定進步的感覺，可能是生意的成長，或一個創意的推廣或一個要去進入或促成的關係。
09," 預言 7紅黑領主，聖施洗約翰
Baktun 9/13","Mannaz
人類",人類全體，提煉阿凡達,"象徵所有與人生相連結的情感
　有形的形體與無形的精神價值 傳承 要深入了解人心 關懷別人 也當心人的險惡與自私"
10,"預言 6帕卡爾·沃坦·穆罕默德 
Baktun 10/13",Laguz水,水的形成，提煉奧秘,月亮般陰柔 溫和 變化性大 內歛 內向 深藏不露 但良善 替人著想 靈敏 纖細　跳脫制式思考在乎平靜　平衡 有時缼乏主見
11," 預言 5羽蛇神 
Baktun 11/13","Ingwaz
天使",內在的種子，提煉啟蒙,做事嚴謹 自我要求高 內心聖潔本質 　領導型　高EQ 冒險開創性格 實踐理想 領袖特質
12,"預言 4（天國的階梯）
Baktun 12/13","Dagaz
黎明",破曉時的靜心，提煉時空,"天真 純潔 活潑 腦筋靈活 易鑽研某領域而沉迷 博學 要懂得自我管理
　　曙光 等待的耐性 保有純真的力量 真誠熱情 期限 "
13,"預言 4（天國的階梯）
Baktun 13/13","Othala
家庭",母體的場域，提煉超越,福氣小孩 善良 溫暖 赤子之心 樂於享樂 生活 務實主義 重視家庭 傳承 用金錢可換取的物質如遺產
14,"預言 4（天國的階梯）
消失的第一世代
Kin194 
水晶白巫師
頂輪增生",wyrd空牌,立方體「14」的力量，建立太平洋板塊的立方體,因果業力的循環　命運　沒有好壞
15,"預言 4（天國的階梯）
消失的第二世代
Kin195 
宇宙藍鷹
海底輪增生",Eihwaz.紫杉,宇宙之樹，蛻變王座,有原則的為自己所設定的方向慢慢前進，不畏堅苦，會隨著困難，越挫越勇
16,"預言 4（天國的階梯）
消失的第三世代
Kin196 
磁性黃戰士
眉心輪增生",Perthro聖杯 ,記憶之井，蛻變阿凡達,目前有強烈的直覺力 ，生命正有個未知的驚喜正在揭示中，生命的可能性正在轉變中情緒狀態不定、變化多端、易受環璄及人事物頻率共振連結
17,"預言 4（天國的階梯）
消失的第四世代
Kin197 
月亮紅地球
臍輪增生",Algiz保護,神聖之舉，蛻變奧秘,穩定、細心等待、耐性觀察　守護性強、對事務分析規劃性強、掌握保護
18,"預言 5羽蛇神
消失的第五世代
Kin198 
電力白鏡
喉輪增生",Sowilo太陽 ,太陽之光，蛻變啟蒙,成功、勝利、正向積極、樂觀、自我實現、自我中心、全權掌握控制自己生命、正向意念、改善生命更美好、焦點 高調
19,"預言 6帕卡爾·沃坦·穆罕默德
消失的第六世代
Kin199 
自我存在藍風暴
胃輪增生",Tiwaz戰神,王權之力，蛻變時空,正義 正道 公理 平衡 勇往直前 追求完美
20,"預言 7紅黑領主，聖施洗約翰
消失的第七世代
Kin 200 
超頻黃太陽
心輪增生",Berkano生育,碩果豐收，蛻變超越,新的開始 成長重生 學習新的事務及經驗 舊的即將結束 未來好轉
21,2000年到2011年的基督 - 新天堂、新地球,wyrd空牌,立方體「21」的力量，建立美洲板塊的立方體,因果業力的循環　命運　沒有好壞
