編號,卦象,編碼一,編碼二,編碼三,編碼四,編碼五,編碼六,編碼,意涵,說明,下卦,意思,對應卦象,上卦,意思,對應卦象,元素上,元素上代號,元素上意思,元素中,元素中代號,元素中意思,元素下,元素下代號,元素下意思,諧波,二進位,意思,對應卦象,二進位,意思,代號
01,乾為天,1,1,1,1,1,1,111111,創世起源,"宇宙之樹內，有創造的門戶
時間掌握了空間的氣息
從失落的時間間隔中，創世湧現",111,時間/天堂,乾(天),111,時間/天堂,乾(天),11,A,時間(太陽),11,A,時間(太陽),11,A,時間(太陽),"諧波1 
自我存在的輸入，賦予形式的盛開",000,空間/地球,坤(地),00,空間(太陰),U
02,坤為地,0,0,0,0,0,0,000000,初始母體,"月亮教導樹，如同地球呼吸
紅星球擁有雙月—是記憶的符號
透由極性藝術，一分為二",000,空間/地球,坤(地),000,空間/地球,坤(地),00,U,空間(太陰),00,U,空間(太陰),00,U,空間(太陰),"諧波65
宇宙的母體矩陣，自我調整當下的宇宙之火",001,聖殿/靜心冥想,艮(山),01,放射光熱(少陰),C
03,水雷屯,1,0,0,0,1,0,100010,新生萌芽,"在樹梢上閃耀，月亮永新
來自中心平靜心智之花
自然之美是動人的祈禱",100,能量/雷,震(雷),010,心/月亮,坎(水),10,G,心智(少陽),00,U,空間(太陰),10,G,心智(少陽),"諧波59
月亮的輸出，表現挑戰的智能",010,心/月亮,坎(水),10,心智(少陽),G
04,山水蒙,0,1,0,0,0,1,010001,再次聆聽,"聆聽創造的多維度真言
樹用內在年輪保留了時間
刺穿感官的窄門",010,心/月亮,坎(水),001,聖殿/靜心冥想,艮(山),01,C,放射光熱(少陰),00,U,空間(太陰),01,C,放射光熱(少陰),"諧波31 
共鳴的輸入，賦予協調的盛開",011,呼吸/風,巽(風),11,時間(太陽),A
05,水天需,1,1,1,0,1,0,111010,眾人匯聚,"終於相聚了，他們相互瞭解而照亮彼此
隨著一個接一個的月亮，他們跟隨著時間
在他們心智中，人們預見一個聚會時機",111,時間/天堂,乾(天),010,心/月亮,坎(水),11,A,時間(太陽),10,G,心智(少陽),11,A,時間(太陽),"諧波10
磁性的母體矩陣，自我調整目的的宇宙之火",100,能量/雷,震(雷),,,
06,天水訟,0,1,0,1,1,1,010111,眾人分開,"所有星星皆有其獨特本性
煉金術士將靈性從黃金中分離
在六天中搜尋瑪納，天賜食糧",010,心/月亮,坎(水),111,時間/天堂,乾(天),01,C,放射光熱(少陰),01,C,放射光熱(少陰),01,C,放射光熱(少陰),"諧波19
光譜的輸出，表現解脫的智能",101,視野/太陽,離(火),,,
07,地水師,0,1,0,0,0,0,010000,眾人之力,"愛，是他們從地球收到的禮物
如同單一的宗族，他們升起了時間之樹
從他們自己的心智中，眾人出現",010,心/月亮,坎(水),000,空間/地球,坤(地),01,C,放射光熱(少陰),00,U,空間(太陰),01,C,放射光熱(少陰),"諧波34
韻律的輸出，表現均衡的智能",110,喜悅/海洋,兌(澤),,,
08,水地比,0,0,0,0,1,0,000010,眾人團結,"微觀世界承載天堂，新的破曉時分
時間之樹在時空重新加入時出現
合一寫在樹的年輪上",000,空間/地球,坤(地),010,心/月亮,坎(水),00,U,空間(太陰),00,U,空間(太陰),00,U,空間(太陰),"諧波62
磁性的儲存，記得目的的優雅",111,時間/天堂,乾(天),,,
09,風天小畜,1,1,1,0,1,1,111011,自律,"在時間之流鍾臣服你的心智
專注的聖杯裝滿太陽之光
將你的心智固定在不變之源上",111,時間/天堂,乾(天),011,呼吸/風,巽(風),11,A,時間(太陽),10,G,心智(少陽),11,A,時間(太陽),"諧波8
韻律的作用，構建均衡的自由意志",,,,,,
10,天澤履,1,1,0,1,1,1,110111,履行實踐,"記憶之書被深深掩埋
沒有藉口的冥想
離開因果而意識到自我",110,喜悅/海洋,兌(澤),111,時間/天堂,乾(天),11,A,時間(太陽),01,C,放射光熱(少陰),11,A,時間(太陽),"諧波16
水晶的輸入，賦予合作的盛開",,,,,,
11,地天泰,1,1,1,0,0,0,111000,動力生機,"空間根據意識轉換形式
障礙消融於輻射光芒的海洋中
劃分時間，給予空間形式",111,時間/天堂,乾(天),000,空間/地球,坤(地),11,A,時間(太陽),10,G,心智(少陽),11,A,時間(太陽),"諧波14
自我存在的輸出，表現形式的智能",,,,,,
12,天地否,0,0,0,1,1,1,000111,穩定,"時間真理發展出其結晶形式
培養內在太陽
靜謐的心智穩定空間",000,空間/地球,坤(地),111,時間/天堂,乾(天),00,U,空間(太陰),01,C,放射光熱(少陰),00,U,空間(太陰),"諧波52
宇宙的儲存，記得當下的優雅",,,,,,
13,天火同人,1,0,1,1,1,1,101111,同心協力之眾人,"一個太陽水晶升起—眾人跟隨的標誌
一顆遠古星星之美由其思想而生
眾人聚集在村莊廣場",101,視野/太陽,離(火),111,時間/天堂,乾(天),10,G,心智(少陽),11,A,時間(太陽),10,G,心智(少陽),"諧波32
光譜的儲存，記得解脫的優雅",,,,,,
